id_str,created_at,text,retweeted,favorite_count,in_reply_to_screen_name
1579897879174721536,2022-10-11 18:13:02+00:00,"With only 28 days until the midterm elections, the stakes are clear: Republicans want a national abortion ban. Democrats want to codify Roe. 

Can you contribute to help elect Democrats up and down the ballot? 
https://t.co/udGGj8j2jJ",False,3880,
1579652252628836353,2022-10-11 01:57:00+00:00,Ask yourself: Do you want to put your Social Security into the hands of Ted Cruz and Marjorie Taylor Greene? https://t.co/cs7XYruduV,False,22632,
1579567195868176385,2022-10-10 20:19:01+00:00,"Every single Democrat voted for the Inflation Reduction Act.

Every single Republican voted against it.",False,64297,
1579277785255710720,2022-10-10 01:09:00+00:00,"Republicans want a national ban on abortion—but if you give me two more Democratic senators and Democrats keep the House, I promise you we will codify Roe v. Wade. https://t.co/lkE2epWZiL",False,25022,
1579238024717533184,2022-10-09 22:31:00+00:00,"The CHIPs and Science Act will help ensure tens of thousands of new, high-paying construction jobs.",False,20001,
1579160012521234432,2022-10-09 17:21:01+00:00,"Our economy created 263,000 jobs last month. That's 10 million jobs since I came into office—the fastest job growth at any point of any president in all of American history.",False,36009,
1578925968151875584,2022-10-09 01:51:00+00:00,"If you’re on Medicare, your insulin will be capped at $35 a month thanks to the Inflation Reduction Act.

We wanted to cut the cost of insulin for everyone—including hundreds of thousands of children with Type 1 diabetes—but Republicans voted to strike that out of the bill.",False,37910,
1578822576771846144,2022-10-08 19:00:10+00:00,"Republicans had no problem enacting a $2 trillion tax cut that overwhelmingly benefitted the wealthiest Americans and biggest corporations.

Now, thanks to the Inflation Reduction Act, corporations will have to pay a minimum corporate tax of 15%.",False,25375,
1578762191225860097,2022-10-08 15:00:13+00:00,"We’re building a clean energy economy, and we’re doing it from the bottom up and the middle out.",False,31958,
1578565900738777088,2022-10-08 02:00:13+00:00,MAGA Republicans can’t be pro-law enforcement and pro-insurrection. https://t.co/VXfRDwcUmc,False,14979,
1578543198494150656,2022-10-08 00:30:01+00:00,"Today's jobs numbers are an encouraging sign that we are transitioning to stable, steady growth. And more Americans are working than ever before. 

There's more to do to grow our economy from the bottom up and middle out, but we're making progress.",False,12202,
1578520547645759490,2022-10-07 23:00:00+00:00,This year’s elections are absolutely critical. Get involved at https://t.co/V9MzpvQJcq. https://t.co/oEUS8NQ2S8,False,5569,
1578493704494493696,2022-10-07 21:13:20+00:00,"Many Republicans have called the Bipartisan Infrastructure program “socialist.” Then, they asked for money from it.

You can’t make this stuff up. https://t.co/yQVHlM3vYw",False,60684,
1578456124587737108,2022-10-07 18:44:01+00:00,"Last year, a family of four saved an average of $2,400 through the American Rescue Plan I signed into law. And now, the Inflation Reduction Act locks in place those lower health care premiums for millions of families who get their coverage through the Affordable Care Act.",False,12047,
1578399854451200000,2022-10-07 15:00:25+00:00,"The United States must lead the world in producing semiconductor chips, and the CHIPs and Science Act is going to make sure that it will.",False,23329,
1578208490539081730,2022-10-07 02:20:00+00:00,"Extreme MAGA Republican Senator Ron Johnson wants to put Social Security and Medicare on the chopping block every year.

This guy never gives up. 

But we never give up either.",False,34567,
1578182820996030476,2022-10-07 00:38:00+00:00,"Sending people to prison for possessing marijuana has upended too many lives and incarcerated people for conduct that many states no longer prohibit. That's before you address the clear racial disparities around prosecution and conviction. 

Today, we start to right these wrongs.",False,35897,
1578164200253399042,2022-10-06 23:24:00+00:00,"The CHIPs and Science Act makes historic investments in companies to build advanced manufacturing facilities here in America. 

Now IBM is investing $20 billion to design and manufacture semiconductors, mainframe technology, and quantum computers.",False,7217,
1578155139487207425,2022-10-06 22:48:00+00:00,"Too many lives have been upended because of our failed approach to marijuana.

Today I announced a pardon of all prior federal offenses of simple possession of marijuana, urged governors to do the same, and asked HHS and DOJ to review how marijuana is scheduled under federal law.",False,35355,
1578100783060553733,2022-10-06 19:12:01+00:00,"RT @POTUS: As I’ve said before, no one should be in jail just for using or possessing marijuana.

Today, I’m taking steps to end our failed…",False,0,
1578076120427233280,2022-10-06 17:34:01+00:00,"The world is changing. We can either shape it, or we can be shaped by it. I believe we have an enormous opportunity to build back a country that is even better than before.

Can I count on you to join us? https://t.co/V9Mzpw8kB0",False,9908,
